1;14/04/2025;1;1;1;activo
2;15/04/2025;2;2;2;activo
3;16/04/2025;3;3;3;activo
4;17/04/2025;4;4;4;cancelado
5;18/04/2025;5;5;5;activo
6;19/04/2025;6;6;6;activo
7;20/04/2025;7;7;7;activo
8;21/04/2025;8;8;8;cancelado
9;22/04/2025;9;9;9;activo
10;23/04/2025;10;10;10;activo
11;24/04/2025;11;11;11;activo
12;25/04/2025;12;12;12;activo
13;26/04/2025;1;13;13;cancelado
14;27/04/2025;2;14;14;activo
15;28/04/2025;3;15;15;activo
16;29/04/2025;4;16;16;activo
17;30/04/2025;5;17;17;activo
18;01/05/2025;6;18;18;activo
19;02/05/2025;7;19;19;cancelado
20;03/05/2025;8;20;20;activo
21;04/05/2025;9;21;21;activo
22;05/05/2025;10;22;22;activo
