1;15/04/2025;18/04/2025;1;1;1;activo
2;16/04/2025;19/04/2025;2;2;2;activo
3;17/04/2025;20/04/2025;3;3;3;activo
4;18/04/2025;21/04/2025;4;4;4;cancelado
5;19/04/2025;22/04/2025;5;5;5;activo
6;20/04/2025;23/04/2025;6;6;6;activo
7;21/04/2025;24/04/2025;7;7;7;activo
8;22/04/2025;25/04/2025;8;8;8;cancelado
9;23/04/2025;26/04/2025;9;9;9;activo
10;24/04/2025;27/04/2025;10;10;10;activo
11;25/04/2025;28/04/2025;11;11;11;activo
12;26/04/2025;29/04/2025;12;12;12;activo
13;27/04/2025;30/04/2025;13;13;13;activo
14;28/04/2025;01/05/2025;14;14;14;activo
15;29/04/2025;02/05/2025;15;15;15;activo
16;30/04/2025;03/05/2025;16;16;16;cancelado
17;01/05/2025;04/05/2025;17;17;17;activo
18;02/05/2025;05/05/2025;18;18;18;activo
19;03/05/2025;06/05/2025;19;19;19;activo
20;04/05/2025;07/05/2025;20;20;20;activo
21;05/05/2025;08/05/2025;21;21;21;activo
22;06/05/2025;09/05/2025;22;22;22;activo
23;07/05/2025;10/05/2025;3;5;3;activo
24;08/05/2025;11/05/2025;4;6;4;activo
25;09/05/2025;12/05/2025;5;7;5;cancelado
26;10/05/2025;13/05/2025;6;8;6;activo
27;11/05/2025;14/05/2025;7;9;7;activo
28;12/05/2025;15/05/2025;8;10;8;activo
29;13/05/2025;16/05/2025;9;11;9;activo
30;14/05/2025;17/05/2025;10;12;10;activo
31;15/05/2025;18/05/2025;11;13;11;cancelado
